-5,1.16E-08
-4.9,9.58E-09
-4.8,7.25E-09
-4.7,6.40E-09
-4.6,5.65E-09
-4.5,4.90E-09
-4.4,4.10E-09
-4.3,3.61E-09
-4.2,3.13E-09
-4.1,2.80E-09
-4,2.85E-09
-3.9,2.52E-09
-3.8,2.02E-09
-3.7,2.07E-09
-3.6,1.68E-09
-3.5,1.55E-09
-3.4,1.41E-09
-3.3,1.26E-09
-3.2,1.13E-09
-3.1,9.99E-10
-3,9.08E-10
-2.9,8.53E-10
-2.8,7.79E-10
-2.7,6.56E-10
-2.6,5.64E-10
-2.5,5.29E-10
-2.4,4.53E-10
-2.3,3.59E-10
-2.2,3.06E-10
-2.1,2.43E-10
-2,2.12E-10
-1.9,1.86E-10
-1.8,1.57E-10
-1.7,1.20E-10
-1.6,9.95E-11
-1.5,8.45E-11
-1.4,6.81E-11
-1.3,5.29E-11
-1.2,4.25E-11
-1.1,3.10E-11
-1,2.22E-11
-0.9,1.52E-11
-0.8,9.46E-12
-0.7,5.97E-12
-0.6,2.71E-12
-0.5,6.70E-13
-0.4,6.70E-13
-0.3,1.40E-12
-0.2,1.86E-12
-0.1,2.11E-12
